WorkerId,Input.location,Input.location_description,Input.location_type,Input.wrong_location,Input.location_link,Answer.Q1Answer,Answer.Q2Answer,Answer.Q3Answer,Answer.Q4CorrectLink,Answer.Q5ControlAnswer,Answer.Q6Quality,Answer.Q7ImprovedDescription
A3J5K2E5RS1P2P,"Off Street Cafe, Cerritos, California","Best food in town, service and food are amazing!",food place,Australia,"https://www.google.com/maps/place/Off+Street+Cafe/@33.872282,-118.1012328,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd2d6f35734e91:0xad1718b16298aaa7!8m2!3d33.872278!4d-118.0989837",Yes_Label,natural,No_Link,N/A,Yes_NegControl,Good_Quality,N/A
A2UKF0QJ70KACC,"Off Street Cafe, Cerritos, California","Best food in town, service and food are amazing!",food place,Australia,"https://www.google.com/maps/place/Off+Street+Cafe/@33.872282,-118.1012328,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd2d6f35734e91:0xad1718b16298aaa7!8m2!3d33.872278!4d-118.0989837",Yes_Label,food,Yes_Link,N/A,No_NegControl,Average_Quality,N/A
A1HE639PDTJKS7,"Off Street Cafe, Cerritos, California","Best food in town, service and food are amazing!",food place,Australia,"https://www.google.com/maps/place/Off+Street+Cafe/@33.872282,-118.1012328,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd2d6f35734e91:0xad1718b16298aaa7!8m2!3d33.872278!4d-118.0989837",Yes_Label,food,Yes_Link,the link is correct,No_NegControl,Average_Quality,The description is of good quality.
A35E8LAQ1R6I9X,"Off Street Cafe, Cerritos, California","Best food in town, service and food are amazing!",food place,Australia,"https://www.google.com/maps/place/Off+Street+Cafe/@33.872282,-118.1012328,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd2d6f35734e91:0xad1718b16298aaa7!8m2!3d33.872278!4d-118.0989837",Yes_Label,food,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
A30US88GBGBG0V,"Benicia State Capitol Historic Park (Previous Capitol of California), Benicia, California","It is the previous location of California's Capitol outside of Sacramento, California. It is not only a historical site but also a museum. I selected winter as the best time to visit due to Christams celebrations they have at the location and neighboring historical building one night in December. Best time to visit is the morning any other time though.",historical landmark,United Kingdom,"https://www.google.com/maps/place/Benicia+Capitol+State+Historic+Park/@38.0500539,-122.1588656,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOL78T_jkNYWe8ATo3Zo80X0SDTSIPl1Qoy9PUY!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOL78T_jkNYWe8ATo3Zo80X0SDTSIPl1Qoy9PUY%3Dw107-h86-k-no!7i2048!8i1638!4m5!3m4!1s0x80856e30dd6b2f05:0x8a84c05e1b65e556!8m2!3d38.0500539!4d-122.1588656",Yes_Label,historical,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
A1K9U12WRMQX8E,"Benicia State Capitol Historic Park (Previous Capitol of California), Benicia, California","It is the previous location of California's Capitol outside of Sacramento, California. It is not only a historical site but also a museum. I selected winter as the best time to visit due to Christams celebrations they have at the location and neighboring historical building one night in December. Best time to visit is the morning any other time though.",historical landmark,United Kingdom,"https://www.google.com/maps/place/Benicia+Capitol+State+Historic+Park/@38.0500539,-122.1588656,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOL78T_jkNYWe8ATo3Zo80X0SDTSIPl1Qoy9PUY!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOL78T_jkNYWe8ATo3Zo80X0SDTSIPl1Qoy9PUY%3Dw107-h86-k-no!7i2048!8i1638!4m5!3m4!1s0x80856e30dd6b2f05:0x8a84c05e1b65e556!8m2!3d38.0500539!4d-122.1588656",Yes_Label,historical,Yes_Link,N/A,No_NegControl,Average_Quality,N/A
A35E8LAQ1R6I9X,"Benicia State Capitol Historic Park (Previous Capitol of California), Benicia, California","It is the previous location of California's Capitol outside of Sacramento, California. It is not only a historical site but also a museum. I selected winter as the best time to visit due to Christams celebrations they have at the location and neighboring historical building one night in December. Best time to visit is the morning any other time though.",historical landmark,United Kingdom,"https://www.google.com/maps/place/Benicia+Capitol+State+Historic+Park/@38.0500539,-122.1588656,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOL78T_jkNYWe8ATo3Zo80X0SDTSIPl1Qoy9PUY!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOL78T_jkNYWe8ATo3Zo80X0SDTSIPl1Qoy9PUY%3Dw107-h86-k-no!7i2048!8i1638!4m5!3m4!1s0x80856e30dd6b2f05:0x8a84c05e1b65e556!8m2!3d38.0500539!4d-122.1588656",Yes_Label,historical,Yes_Link,N/A,No_NegControl,Good_Quality,N/A
A3530BDWB1BQIM,"Asian Mll, Westminster, California",It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.,food place,Japan,https://www.asiangardenmall.com/,Yes_Label,food,No_Link,https://m.facebook.com/quanmiiwestminster/,No_NegControl,Average_Quality,N/a
A1V89SCDXE6XQC,"Asian Mll, Westminster, California",It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.,food place,Japan,https://www.asiangardenmall.com/,No_Label,other,No_Link,"https://www.google.com/maps/place/Asian+Garden+Mall/@33.7435705,-117.9686492,15z/data=!4m2!3m1!1s0x0:0x7c52c0738f274aa9?sa=X&ved=2ahUKEwidkYn43rrwAhUMXc0KHWnYBPMQ_BIwEnoECB8QBQ",No_NegControl,Good_Quality,N/A
A1M58O7MHNS4F1,"Asian Mll, Westminster, California",It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.,food place,Japan,https://www.asiangardenmall.com/,Yes_Label,food,Yes_Link,https://www.asiangardenmall.com/,No_NegControl,Good_Quality,"Beautiful shopping mall with all kind so products, food and shopping stuff but tourist never find out about it."
